chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr6	149846006	149846507	501	*	5.26	5.06	5.47	-0.41	0.235	0.42	61165
chr15	76196939	76197440	501	*	5.73	5.87	5.53	0.34	0.235	0.42	61168
chr6	109003710	109004211	501	*	4.25	3.95	4.55	-0.6	0.235	0.42	61170
chr5	138641508	138642009	501	*	4.69	4.87	4.43	0.43	0.235	0.42	61178
chr11	122861439	122862427	988	*	5.6	5.44	5.78	-0.34	0.235	0.42	61186
chr1	147631751	147632252	501	*	5.3	5.11	5.5	-0.39	0.235	0.42	61192
chr19	41958836	41959337	501	*	7.94	8.04	7.8	0.24	0.235	0.42	61193
chr9	14434884	14435385	501	*	4.31	4.02	4.61	-0.58	0.235	0.42	61198
chr9	129597382	129597883	501	*	7.46	7.58	7.3	0.28	0.235	0.42	61201
chr4	140332797	140333298	501	*	4.6	4.33	4.88	-0.55	0.235	0.42	61203
chr3	189946507	189947008	501	*	4.56	4.32	4.81	-0.49	0.235	0.42	61207
chr2	84957970	84958471	501	*	6.94	7.06	6.76	0.3	0.235	0.42	61211
chr6	28825207	28825708	501	*	5.36	5.7	4.77	0.93	0.235	0.42	61213
chr3	128082597	128083098	501	*	4.36	4.12	4.61	-0.49	0.235	0.42	61214
chr4	140331694	140332195	501	*	4.01	3.7	4.33	-0.63	0.235	0.42	61226
chr13	44301089	44301590	501	*	6.12	6.24	5.95	0.29	0.235	0.42	61232
chr5	148741404	148741905	501	*	4.52	4.32	4.75	-0.43	0.236	0.42	61233
chr17	76102187	76102688	501	*	4.67	4.46	4.89	-0.44	0.236	0.42	61243
chr16	57409941	57410442	501	*	4.81	4.99	4.55	0.45	0.236	0.42	61246
chr10	79075882	79076383	501	*	5.17	5.32	4.96	0.36	0.236	0.42	61248
chr3	134308632	134309133	501	*	5.32	5.46	5.13	0.33	0.236	0.42	61250
chr18	62420857	62421358	501	*	6.43	6.53	6.29	0.24	0.236	0.42	61252
chr2	86072260	86072761	501	*	5.56	5.71	5.34	0.37	0.236	0.42	61254
chr9	135960677	135961178	501	*	7.51	7.64	7.33	0.31	0.236	0.421	61266
chr15	45307237	45307738	501	*	4.77	4.6	4.96	-0.36	0.236	0.421	61276
chr18	7561877	7562378	501	*	4.94	4.77	5.13	-0.36	0.236	0.421	61277
chr5	151756517	151757018	501	*	4.53	4.69	4.29	0.41	0.236	0.421	61278
chrX	12949693	12950194	501	*	5.22	5.36	5.02	0.34	0.236	0.421	61279
chr3	195132971	195133472	501	*	5.19	4.97	5.44	-0.47	0.236	0.421	61280
chr2	20630743	20631244	501	*	5.11	5.25	4.91	0.35	0.236	0.421	61282
chr11	10669321	10669822	501	*	5.27	5.4	5.08	0.32	0.236	0.421	61287
chr5	173304222	173304723	501	*	4.5	4.17	4.82	-0.65	0.236	0.421	61289
chr8	140831671	140832172	501	*	4.33	4.1	4.59	-0.49	0.236	0.421	61295
chr3	182259711	182260212	501	*	5.29	5.09	5.51	-0.42	0.236	0.421	61303
chr7	96794238	96794739	501	*	4.36	4.12	4.62	-0.51	0.236	0.421	61304
chr1	167752832	167753333	501	*	4.74	4.93	4.45	0.49	0.236	0.421	61306
chr1	176854317	176854818	501	*	4.3	4.57	3.86	0.71	0.236	0.421	61311
chr22	23522268	23522769	501	*	6.78	6.9	6.61	0.29	0.237	0.421	61336
chr1	23635061	23635562	501	*	6.35	6.48	6.18	0.31	0.237	0.421	61343
chr17	73711854	73712355	501	*	4.36	4.54	4.08	0.46	0.237	0.421	61350
chr17	7177546	7178047	501	*	6.37	6.23	6.53	-0.3	0.237	0.421	61351
chrX	23789734	23790235	501	*	4.33	4.55	4.02	0.53	0.237	0.421	61352
chr9	81394054	81394555	501	*	5.61	5.73	5.44	0.3	0.237	0.421	61353
chr1	243354785	243355286	501	*	4.81	4.62	5.02	-0.4	0.237	0.421	61354
chr1	95023092	95023593	501	*	5.12	5.27	4.91	0.36	0.237	0.421	61368
chr1	15421212	15421713	501	*	5.17	5	5.36	-0.36	0.237	0.422	61377
chr9	14178681	14179182	501	*	5.8	5.6	6.02	-0.42	0.237	0.422	61380
chr12	94558407	94558908	501	*	4.01	3.73	4.3	-0.57	0.237	0.422	61382
chr9	72532999	72533500	501	*	6.32	6.44	6.16	0.29	0.237	0.422	61400
chr17	28918795	28919296	501	*	4.81	4.98	4.56	0.43	0.237	0.422	61407
chr9	113454837	113455338	501	*	5.67	5.79	5.51	0.29	0.237	0.422	61417
chr5	74055847	74056348	501	*	5.36	5.5	5.16	0.34	0.237	0.422	61418
chr20	43937270	43937771	501	*	4.38	4.61	4.05	0.56	0.237	0.422	61424
chr7	155796704	155797205	501	*	6.07	6.22	5.87	0.35	0.237	0.422	61427
chr9	132799833	132800334	501	*	4.93	5.08	4.73	0.35	0.237	0.422	61429
chr6	5459322	5459823	501	*	4.77	4.55	5.01	-0.46	0.237	0.422	61430
chr1	226895465	226895966	501	*	5.46	5.63	5.22	0.41	0.237	0.422	61431
chr10	122298905	122299406	501	*	5.35	5.51	5.13	0.38	0.238	0.422	61444
chr16	21557958	21558459	501	*	4.56	4.78	4.21	0.58	0.238	0.422	61445
chr6	49856010	49856511	501	*	3.24	3.6	2.62	0.99	0.238	0.422	61446
chr7	101351530	101352031	501	*	4.79	4.58	5.02	-0.44	0.238	0.422	61451
chr3	25428014	25428515	501	*	6.08	6.21	5.89	0.31	0.238	0.423	61459
chr2	11829743	11830244	501	*	6.29	6.41	6.14	0.27	0.238	0.423	61468
chr2	234102418	234102919	501	*	4.48	4.68	4.19	0.49	0.238	0.423	61469
chr17	77935107	77935608	501	*	5.1	5.27	4.86	0.41	0.238	0.423	61471
chr6	36340736	36341237	501	*	5.61	5.73	5.45	0.28	0.238	0.423	61478
chr1	239411042	239411543	501	*	4.65	4.84	4.37	0.47	0.238	0.423	61485
chr4	1351600	1352101	501	*	5.8	5.93	5.62	0.31	0.238	0.423	61496
chr16	69402438	69402939	501	*	5.27	5.09	5.47	-0.38	0.238	0.423	61508
chr15	45435187	45435688	501	*	5.01	4.82	5.22	-0.4	0.238	0.423	61513
chr14	60723429	60723930	501	*	7.71	7.81	7.58	0.23	0.238	0.423	61515
chr7	91549844	91550345	501	*	4.54	4.27	4.82	-0.55	0.238	0.423	61524
chr4	123651101	123651602	501	*	4.57	4.38	4.78	-0.4	0.238	0.423	61528
chr8	94823212	94823713	501	*	7.7	7.81	7.56	0.24	0.238	0.423	61529
chr5	151669511	151670012	501	*	4.82	4.97	4.6	0.37	0.238	0.423	61533
chr6	42547449	42547950	501	*	6.43	6.54	6.28	0.27	0.239	0.423	61537
chr2	121699927	121700428	501	*	5.01	5.16	4.79	0.38	0.239	0.423	61540
chr2	38274218	38274719	501	*	4.4	4.15	4.66	-0.51	0.239	0.424	61542
chr17	31693526	31694027	501	*	5.5	5.34	5.68	-0.34	0.239	0.424	61546
chr14	32256963	32257464	501	*	4.44	4.62	4.18	0.45	0.239	0.424	61549
chr11	73386423	73386924	501	*	4.79	4.98	4.5	0.47	0.239	0.424	61552
chr9	127734925	127735426	501	*	7.18	7.31	7	0.3	0.239	0.424	61565
chr12	67434685	67435186	501	*	4.65	4.82	4.4	0.42	0.239	0.424	61577
chr7	134729507	134730008	501	*	5.83	5.97	5.65	0.32	0.239	0.424	61578
chr12	56988270	56988771	501	*	4.87	4.7	5.06	-0.35	0.239	0.424	61587
chr2	46002166	46002667	501	*	4.79	4.59	5.01	-0.41	0.239	0.424	61592
chr7	5369152	5369653	501	*	4.56	4.36	4.77	-0.4	0.239	0.424	61600
chr14	68459391	68459892	501	*	6.43	6.56	6.25	0.3	0.239	0.424	61603
chr17	29785781	29786282	501	*	5.53	5.68	5.31	0.38	0.239	0.424	61604
chr13	40477968	40478469	501	*	5.99	6.11	5.83	0.27	0.239	0.424	61616
chr7	157254376	157254877	501	*	5.52	5.71	5.23	0.49	0.24	0.425	61625
chr1	169584724	169585225	501	*	4.4	4.59	4.13	0.46	0.24	0.425	61626
chr1	173190228	173190729	501	*	5.66	5.82	5.43	0.39	0.24	0.425	61628
chr20	4946975	4947476	501	*	4.4	4.6	4.11	0.49	0.24	0.425	61630
chr7	24287400	24287901	501	*	5.19	5.4	4.88	0.52	0.24	0.425	61637
chr5	74673112	74673613	501	*	4.73	4.56	4.93	-0.37	0.24	0.425	61656
chr1	63776095	63776596	501	*	4.86	5	4.67	0.34	0.24	0.425	61657
chr19	47429966	47430467	501	*	6.06	6.22	5.84	0.38	0.24	0.425	61666
chrX	9320602	9321103	501	*	4.81	4.97	4.57	0.4	0.24	0.425	61677
chr5	76556633	76557134	501	*	5.59	5.44	5.74	-0.3	0.24	0.425	61680
chrX	12984678	12985179	501	*	5.46	5.28	5.65	-0.37	0.24	0.425	61682
chr7	80766579	80767080	501	*	5.48	5.31	5.67	-0.36	0.24	0.425	61694
chr15	89206901	89207402	501	*	5.19	5.03	5.37	-0.34	0.24	0.425	61705
chr16	86517059	86517560	501	*	5.68	5.82	5.48	0.34	0.24	0.426	61712
chr14	61719481	61719982	501	*	4.61	4.38	4.85	-0.46	0.24	0.426	61720
chr6	16400064	16400565	501	*	5.03	5.19	4.81	0.37	0.241	0.426	61730
chr4	38182438	38182939	501	*	5	5.18	4.76	0.42	0.241	0.426	61734
chr8	18913444	18913945	501	*	5.53	5.36	5.71	-0.36	0.241	0.426	61744
chr2	39229979	39230480	501	*	4.24	4.02	4.49	-0.47	0.241	0.426	61752
chr6	168893684	168894185	501	*	4.42	4.21	4.64	-0.43	0.241	0.426	61754
chr9	76806906	76807407	501	*	4.5	4.3	4.72	-0.41	0.241	0.426	61755
chr5	68265085	68265586	501	*	5.5	5.65	5.29	0.36	0.241	0.426	61760
chr6	44172830	44173331	501	*	5.05	4.86	5.26	-0.4	0.241	0.426	61761
chr1	92850979	92851480	501	*	4.87	4.68	5.07	-0.39	0.241	0.426	61762
chr1	38872874	38873375	501	*	7.04	7.16	6.86	0.3	0.241	0.426	61774
chr6	27835053	27835554	501	*	4.49	4.28	4.71	-0.43	0.241	0.426	61776
chr20	41344454	41344955	501	*	5.57	5.71	5.38	0.33	0.241	0.426	61781
chr6	12493656	12494157	501	*	5.17	5.35	4.92	0.42	0.241	0.426	61784
chr1	234524812	234525313	501	*	6.36	6.23	6.5	-0.26	0.241	0.426	61790
chr2	230630996	230631497	501	*	5.55	5.38	5.74	-0.36	0.241	0.426	61792
chr14	102234932	102235433	501	*	5.01	5.15	4.81	0.34	0.241	0.426	61795
chr6	136367032	136367533	501	*	4.9	4.66	5.14	-0.48	0.241	0.426	61798
chr8	22681113	22681614	501	*	5.13	4.96	5.31	-0.35	0.241	0.426	61799
chr6	711020	711521	501	*	7.22	7.36	7.03	0.33	0.241	0.427	61804
chr7	130886450	130886951	501	*	4.6	4.96	3.99	0.96	0.241	0.427	61806
chr12	96428961	96429462	501	*	4.86	5.02	4.63	0.39	0.242	0.427	61819
chr18	290955	291456	501	*	4.09	3.82	4.37	-0.55	0.242	0.427	61820
chr5	173969658	173970159	501	*	4.91	5.07	4.69	0.37	0.242	0.427	61822
chr11	130892623	130893124	501	*	4.38	4.18	4.6	-0.42	0.242	0.427	61828
chr10	125067757	125068258	501	*	5.12	4.94	5.31	-0.37	0.242	0.427	61833
chr14	64518987	64519488	501	*	4.25	4.02	4.49	-0.48	0.242	0.427	61836
chr5	149125464	149125965	501	*	6.31	6.16	6.48	-0.31	0.242	0.427	61861
chr11	72112094	72112595	501	*	7.45	7.55	7.32	0.23	0.242	0.427	61864
chr18	8990363	8990864	501	*	5.62	5.46	5.81	-0.35	0.242	0.428	61868
chr6	24855666	24856167	501	*	5.41	5.59	5.13	0.46	0.242	0.428	61871
chr1	38571294	38571795	501	*	4.63	4.81	4.37	0.44	0.242	0.428	61876
chr18	9989377	9989878	501	*	4.39	4.62	4.04	0.58	0.242	0.428	61878
chr22	38052532	38053033	501	*	6.23	6.37	6.04	0.33	0.242	0.428	61879
chr6	139230234	139230735	501	*	4.57	4.36	4.8	-0.43	0.242	0.428	61882
chr17	31856650	31857151	501	*	4.67	4.47	4.88	-0.41	0.242	0.428	61898
chr6	148365915	148366416	501	*	4.54	4.71	4.31	0.4	0.243	0.428	61902
chrX	45515739	45516240	501	*	4.5	4.68	4.22	0.46	0.243	0.428	61915
chr3	156548180	156548681	501	*	5.04	4.85	5.25	-0.4	0.243	0.428	61917
chr6	113680153	113680654	501	*	4.52	4.26	4.79	-0.53	0.243	0.428	61919
chr1	152001362	152001863	501	*	5.53	5.37	5.71	-0.33	0.243	0.428	61925
chr5	68419758	68420259	501	*	5.44	5.56	5.28	0.29	0.243	0.428	61932
chr5	134127420	134127921	501	*	4.47	4.66	4.17	0.49	0.243	0.429	61933
chr16	86500432	86500933	501	*	4.83	5.04	4.54	0.5	0.243	0.429	61936
chr6	149011385	149011886	501	*	3.59	3.83	3.2	0.63	0.243	0.429	61943
chr22	42699335	42699836	501	*	5.75	5.88	5.57	0.3	0.243	0.429	61946
chr6	137709843	137710344	501	*	4.55	4.72	4.31	0.41	0.243	0.429	61962
chr3	187858447	187858948	501	*	4.74	4.92	4.48	0.44	0.243	0.429	61982
chr18	62596341	62596842	501	*	5.04	5.2	4.81	0.39	0.244	0.429	61987
chr22	42650898	42651399	501	*	4.7	4.84	4.49	0.35	0.244	0.429	61989
chr16	48283998	48284499	501	*	4.4	4.18	4.64	-0.46	0.244	0.429	61992
chr7	111749888	111750389	501	*	4.58	4.35	4.82	-0.47	0.244	0.43	62008
chr4	38690978	38691479	501	*	4.92	5.07	4.69	0.38	0.244	0.43	62011
chr2	48325828	48326329	501	*	4.06	3.81	4.32	-0.51	0.244	0.43	62016
chr1	225475033	225475534	501	*	5.99	6.12	5.82	0.3	0.244	0.43	62033
chr1	182148082	182148583	501	*	4.91	5.06	4.7	0.37	0.244	0.43	62036
chr1	146007075	146007576	501	*	5.38	5.51	5.2	0.31	0.244	0.43	62045
chr4	128588934	128589435	501	*	6.08	5.91	6.28	-0.36	0.244	0.43	62047
chr1	53182671	53183172	501	*	4.71	4.51	4.93	-0.41	0.244	0.43	62052
chr5	56858694	56859195	501	*	4.22	4.01	4.45	-0.45	0.244	0.43	62057
chr1	47192589	47193090	501	*	5.8	5.66	5.97	-0.31	0.244	0.43	62062
chr1	67536459	67536960	501	*	4.09	4.29	3.78	0.52	0.244	0.43	62073
chr1	234655359	234655860	501	*	4.58	4.8	4.25	0.55	0.244	0.43	62074
chr1	59738375	59738876	501	*	5.49	5.3	5.68	-0.38	0.244	0.43	62077
chr20	49216810	49217311	501	*	5.23	5.05	5.42	-0.37	0.244	0.43	62084
chr15	98874563	98875064	501	*	5.17	5.3	4.98	0.31	0.244	0.43	62085
chr11	63768264	63768765	501	*	6.57	6.83	6.18	0.65	0.244	0.43	62087
chr3	64489408	64489909	501	*	6.06	5.88	6.27	-0.39	0.245	0.43	62100
chr5	139379760	139380261	501	*	4.58	4.75	4.35	0.4	0.245	0.43	62108
chr3	50194077	50194578	501	*	4.98	5.14	4.75	0.4	0.245	0.431	62112
chr18	6746289	6746790	501	*	5.42	5.59	5.17	0.42	0.245	0.431	62113
chr7	71251495	71251996	501	*	5.59	5.44	5.76	-0.31	0.245	0.431	62116
chr12	93390643	93391144	501	*	6.04	5.91	6.18	-0.27	0.245	0.431	62123
chr20	50576103	50576604	501	*	4.91	4.76	5.08	-0.32	0.245	0.431	62134
chr16	2340969	2341470	501	*	5.69	5.83	5.49	0.34	0.245	0.431	62140
chr6	17472588	17473089	501	*	4.9	5.08	4.64	0.44	0.245	0.431	62143
chr10	79184709	79185210	501	*	4.68	4.86	4.43	0.43	0.245	0.431	62148
chr5	71650719	71651220	501	*	4.57	4.81	4.2	0.6	0.245	0.431	62151
chr2	43402030	43402531	501	*	4.6	4.76	4.38	0.38	0.245	0.431	62156
chr1	50722276	50722777	501	*	4.02	3.77	4.28	-0.51	0.245	0.431	62164
chr11	69915607	69916108	501	*	6.12	6.24	5.97	0.27	0.245	0.431	62166
chr7	36116366	36116867	501	*	4.74	4.9	4.52	0.37	0.245	0.431	62172
chr8	134867039	134867540	501	*	5.4	5.22	5.59	-0.37	0.246	0.431	62178
chr1	179814781	179815282	501	*	5.92	6.06	5.74	0.32	0.246	0.431	62180
chr20	40673624	40674125	501	*	4.56	4.36	4.77	-0.4	0.246	0.431	62186
chr11	93648180	93648681	501	*	4.54	4.72	4.29	0.43	0.246	0.432	62193
chr15	37104243	37104744	501	*	5.12	5.27	4.92	0.35	0.246	0.432	62194
chr6	2624739	2625576	837	*	5.05	5.2	4.84	0.36	0.246	0.432	62198
chr3	129626840	129627341	501	*	7.27	7.38	7.12	0.26	0.246	0.432	62199
chr2	106575765	106576266	501	*	7.11	6.99	7.24	-0.25	0.246	0.432	62204
chr11	96057481	96057982	501	*	4.65	4.45	4.88	-0.43	0.246	0.432	62205
chr11	66052212	66052713	501	*	7.24	7.34	7.1	0.24	0.246	0.432	62211
chr12	121552688	121553189	501	*	4.36	4.54	4.11	0.43	0.246	0.432	62217
chr9	98852480	98852981	501	*	5.33	5.49	5.1	0.38	0.246	0.432	62224
chr13	50121423	50121924	501	*	4.34	4.51	4.08	0.43	0.246	0.432	62229
chrX	11346313	11346814	501	*	4.31	4.08	4.55	-0.47	0.246	0.432	62242
chr2	216710747	216711248	501	*	4.6	4.76	4.36	0.4	0.246	0.432	62245
chr9	90998599	90999100	501	*	5.55	5.7	5.33	0.37	0.246	0.432	62246
chr1	110477520	110478021	501	*	5.34	5.13	5.56	-0.43	0.246	0.432	62247
chr7	25390491	25390992	501	*	4.45	4.67	4.12	0.55	0.246	0.432	62249
chr15	81399480	81399981	501	*	4.54	4.34	4.77	-0.43	0.246	0.432	62255
chr15	71754028	71754529	501	*	4.63	4.39	4.89	-0.5	0.246	0.433	62261
chr20	25286479	25286980	501	*	4.75	4.48	5.02	-0.54	0.247	0.433	62264
chr3	39190190	39190691	501	*	5.69	5.8	5.53	0.27	0.247	0.433	62270
chr2	10142546	10143047	501	*	4.59	4.82	4.26	0.55	0.247	0.433	62276
chr12	94091113	94091614	501	*	4.8	4.58	5.04	-0.47	0.247	0.433	62280
chr1	20166247	20166748	501	*	5.29	5.43	5.09	0.34	0.247	0.433	62281
chr10	86362820	86363321	501	*	5.08	5.25	4.83	0.41	0.247	0.433	62282
chr1	2204359	2204860	501	*	6.74	6.86	6.57	0.29	0.247	0.433	62283
chr11	85682486	85682987	501	*	7	7.14	6.8	0.34	0.247	0.433	62286
chr4	169032353	169032854	501	*	5.74	5.57	5.93	-0.36	0.247	0.433	62292
chr7	30550725	30551226	501	*	7.05	6.94	7.18	-0.23	0.247	0.433	62296
chr2	19362321	19362822	501	*	6.19	6.07	6.34	-0.27	0.247	0.433	62297
chr7	29411464	29411965	501	*	4.83	4.63	5.06	-0.43	0.247	0.433	62298
chr10	75235209	75235710	501	*	7.23	7.36	7.05	0.31	0.247	0.433	62299
chr12	96420921	96421422	501	*	5.17	5.32	4.97	0.35	0.247	0.433	62305
chr15	89164334	89164835	501	*	5.16	4.98	5.36	-0.37	0.247	0.433	62313
chr11	77039383	77039884	501	*	5.38	5.54	5.17	0.37	0.247	0.433	62315
chr7	130901602	130902103	501	*	6	6.15	5.8	0.35	0.247	0.433	62316
chr5	173302514	173303015	501	*	4.28	4.46	4	0.46	0.247	0.433	62318
chr14	90682337	90682838	501	*	4.8	4.55	5.06	-0.51	0.247	0.433	62329
chrX	47523612	47524113	501	*	6.65	6.76	6.49	0.28	0.247	0.433	62336
chr10	88222774	88223275	501	*	5.17	4.98	5.38	-0.41	0.247	0.433	62342
chr10	62025315	62025816	501	*	4.59	4.39	4.81	-0.42	0.247	0.433	62356
chr9	127608115	127608616	501	*	6.09	6.23	5.89	0.34	0.247	0.433	62368
chr1	55467969	55468470	501	*	4.81	4.96	4.59	0.37	0.247	0.433	62370
chr2	170816866	170817367	501	*	6.34	6.49	6.12	0.37	0.247	0.433	62375
chr20	38154169	38154670	501	*	4.84	5.01	4.61	0.4	0.248	0.434	62380
chr15	39575376	39575877	501	*	6.42	6.52	6.27	0.24	0.248	0.434	62383
chr2	222898363	222898864	501	*	4.25	4.48	3.91	0.57	0.248	0.434	62384
chr12	123271070	123271571	501	*	6.96	7.28	6.44	0.84	0.248	0.434	62387
chr10	42769906	42770407	501	*	5.84	5.41	6.24	-0.84	0.248	0.434	62389
chr1	227316888	227317389	501	*	4.51	4.32	4.72	-0.39	0.248	0.434	62390
chr21	41802482	41802983	501	*	5.66	5.48	5.85	-0.37	0.248	0.434	62396
chr5	126843426	126843927	501	*	4.38	4.19	4.59	-0.4	0.248	0.434	62399
chr2	19874886	19875387	501	*	4.93	4.77	5.12	-0.35	0.248	0.434	62400
chr15	55217178	55217679	501	*	4.48	4.28	4.69	-0.41	0.248	0.434	62419
chr15	42706455	42706956	501	*	4.03	3.81	4.27	-0.46	0.248	0.434	62424
chr18	13533854	13534355	501	*	4.29	4.5	3.97	0.53	0.248	0.434	62430
chr10	112328500	112329001	501	*	4.57	4.77	4.28	0.49	0.248	0.434	62433
chr9	91043292	91043793	501	*	4.8	4.97	4.55	0.43	0.248	0.434	62434
chr1	116332487	116332988	501	*	5.03	5.17	4.84	0.33	0.248	0.434	62437
chr6	138971752	138972253	501	*	4.46	4.24	4.69	-0.45	0.248	0.435	62446
chr9	134170852	134171353	501	*	5.01	5.15	4.81	0.35	0.248	0.435	62452
chr22	35020606	35021107	501	*	7.09	7.19	6.94	0.25	0.249	0.435	62460
chr8	95024758	95025259	501	*	7.39	7.5	7.24	0.26	0.249	0.435	62465
chr2	85413655	85414156	501	*	6.33	6.46	6.14	0.31	0.249	0.435	62472
chr2	85733319	85733820	501	*	4.93	5.1	4.69	0.41	0.249	0.435	62473
chr20	51354591	51355092	501	*	4.62	4.79	4.37	0.43	0.249	0.435	62474
chr2	12983698	12984199	501	*	4.31	3.97	4.65	-0.68	0.249	0.435	62477
chr3	73502420	73502921	501	*	4.53	4.28	4.8	-0.52	0.249	0.435	62480
chr14	75984031	75984532	501	*	5.5	5.37	5.66	-0.29	0.249	0.435	62486
chr12	52106277	52106778	501	*	4.21	3.98	4.45	-0.47	0.249	0.435	62495
chr6	105488544	105489045	501	*	4.64	4.84	4.36	0.48	0.249	0.435	62507
chr1	180533965	180534466	501	*	4.57	4.73	4.34	0.39	0.249	0.435	62512
chr17	64739428	64739929	501	*	4.79	4.61	4.99	-0.39	0.249	0.436	62517
chr1	116323447	116323948	501	*	4.78	4.93	4.57	0.36	0.249	0.436	62519
chr22	43127203	43127704	501	*	5	5.17	4.77	0.4	0.249	0.436	62527
chr12	12028089	12028590	501	*	4.31	4.48	4.06	0.42	0.249	0.436	62531
chr8	89984252	89984753	501	*	7.55	7.63	7.43	0.2	0.249	0.436	62532
chr13	109585175	109585676	501	*	4.97	5.13	4.75	0.38	0.25	0.436	62546
chr11	62680584	62681085	501	*	5.38	5.24	5.53	-0.29	0.25	0.436	62557
chr8	100944436	100944937	501	*	4.68	4.49	4.9	-0.4	0.25	0.436	62558
chr1	155250393	155250894	501	*	5.53	5.68	5.3	0.38	0.25	0.436	62559
chr2	96507917	96508418	501	*	6.56	6.68	6.41	0.27	0.25	0.436	62564
chr7	71271679	71272180	501	*	5.01	5.18	4.75	0.43	0.25	0.436	62567
chr6	33761775	33762276	501	*	6.61	6.73	6.44	0.29	0.25	0.436	62584
chr11	95079711	95080212	501	*	5.38	5.18	5.61	-0.43	0.25	0.436	62592
chr14	92783448	92783949	501	*	6.06	5.94	6.2	-0.26	0.25	0.437	62614
chr1	19079685	19080186	501	*	6.47	6.57	6.34	0.24	0.25	0.437	62615
chr10	114551632	114552133	501	*	4.76	4.89	4.57	0.32	0.25	0.437	62627
chr15	31127973	31128474	501	*	4.7	4.47	4.94	-0.47	0.25	0.437	62629
chr12	115772654	115773155	501	*	3.95	3.61	4.28	-0.66	0.25	0.437	62636
chr12	117853797	117854298	501	*	4.99	5.14	4.77	0.37	0.251	0.437	62645
chr11	63634699	63635200	501	*	3.93	4.14	3.62	0.52	0.251	0.437	62646
chr16	19184862	19185363	501	*	4.48	4.66	4.22	0.43	0.251	0.437	62649
chr1	208235941	208236442	501	*	5.57	5.73	5.35	0.38	0.251	0.437	62657
chr17	1267895	1268396	501	*	7.5	7.6	7.37	0.23	0.251	0.437	62664
chr12	124435073	124435574	501	*	4.96	5.11	4.74	0.37	0.251	0.437	62668
chr1	116405458	116405959	501	*	4.77	4.58	4.97	-0.39	0.251	0.437	62669
chr9	113598970	113599471	501	*	4.51	4.67	4.3	0.37	0.251	0.437	62670
chr12	68358602	68359103	501	*	5.23	5.39	5	0.39	0.251	0.438	62682
chr9	91714363	91714864	501	*	5.67	5.93	5.27	0.66	0.251	0.438	62683
chr18	55406525	55407026	501	*	5.04	5.18	4.84	0.34	0.251	0.438	62685
chr8	126874164	126874665	501	*	6.12	5.96	6.29	-0.33	0.251	0.438	62694
chr11	45933133	45933634	501	*	6.09	5.91	6.29	-0.37	0.251	0.438	62707
chr9	129343325	129343826	501	*	4.79	4.97	4.53	0.44	0.251	0.438	62719
chr11	64141546	64142047	501	*	5.18	5.36	4.91	0.46	0.251	0.438	62723
chr8	25359907	25360408	501	*	5.47	5.34	5.62	-0.28	0.251	0.438	62728
chr9	113577457	113577958	501	*	5.04	5.2	4.82	0.38	0.252	0.438	62731
chr1	87684070	87684571	501	*	5.77	5.89	5.61	0.28	0.252	0.438	62733
chr22	29044301	29044802	501	*	4.33	4.51	4.07	0.44	0.252	0.438	62738
chr9	120950746	120951247	501	*	4.52	4.7	4.27	0.43	0.252	0.438	62741
chr9	37784805	37785306	501	*	7.38	7.48	7.24	0.24	0.252	0.438	62744
chr5	147453419	147453920	501	*	7.04	7.15	6.89	0.26	0.252	0.438	62748
chr10	102500532	102501033	501	*	4.46	4.26	4.67	-0.41	0.252	0.438	62754
chr2	30503598	30504099	501	*	4.65	4.45	4.86	-0.4	0.252	0.438	62758
chr15	45614328	45614829	501	*	4.94	4.77	5.13	-0.36	0.252	0.438	62759
chr7	27155842	27156343	501	*	6.76	6.88	6.6	0.28	0.252	0.438	62760
chr15	100883981	100884482	501	*	6.23	6.03	6.45	-0.43	0.252	0.438	62767
chr10	86366829	86367330	501	*	5.86	6.01	5.64	0.37	0.252	0.439	62773
chr4	82272134	82272635	501	*	5.15	4.97	5.34	-0.37	0.252	0.439	62780
chr12	3654214	3654715	501	*	5.25	4.88	5.61	-0.73	0.252	0.439	62786
chr18	54119598	54120099	501	*	4.38	4.16	4.62	-0.46	0.252	0.439	62798
chr12	3117170	3117671	501	*	5.06	5.22	4.83	0.39	0.252	0.439	62803
chr21	33429580	33430081	501	*	5.89	6	5.74	0.26	0.252	0.439	62808
chr2	121356175	121356676	501	*	6.22	6.08	6.37	-0.3	0.252	0.439	62817
chr3	129161319	129161820	501	*	7.37	7.46	7.23	0.23	0.253	0.439	62823
chr6	53442641	53443142	501	*	4.62	4.41	4.84	-0.43	0.253	0.439	62834
chr15	74958357	74958858	501	*	5.69	5.84	5.49	0.34	0.253	0.439	62839
chr6	31086912	31087413	501	*	4.92	5.06	4.72	0.34	0.253	0.439	62850
chr12	124320609	124321110	501	*	4.66	4.87	4.33	0.54	0.253	0.439	62852
chr2	64878958	64879459	501	*	4.58	4.4	4.77	-0.38	0.253	0.439	62853
chr20	49323502	49324484	982	*	5.49	5.64	5.28	0.35	0.253	0.439	62855
chr17	27805595	27806096	501	*	5.98	6.12	5.8	0.31	0.253	0.44	62865
chr3	126679310	126679811	501	*	4.9	5.08	4.65	0.43	0.253	0.44	62882
chr5	74076377	74076878	501	*	6.56	6.42	6.72	-0.31	0.253	0.44	62885
