anchor_chr	anchor_start	anchor_end	anchor_anchor_ID	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr4	86880000	86900000	4723	chr4	86896731	86897232	4.72	5.15	-0.43	0.216	0.398
chr13	112600000	112650000	13151	chr13	112606060	112606561	5.9	6.17	-0.27	0.216	0.398
chr16	30380000	30440000	14505	chr16	30417982	30418483	7.1	6.84	0.26	0.216	0.398
chr7	131050000	131110000	8185	chr7	131103910	131104411	4.19	4.66	-0.47	0.216	0.398
chr5	5370000	5420000	5160	chr5	5372842	5373343	4.6	4	0.6	0.216	0.398
chr7	107710000	107760000	8059	chr7	107744000	107744501	7.87	7.64	0.23	0.216	0.398
chr8	19340000	19420000	8444	chr8	19405777	19406278	4.43	4.91	-0.47	0.216	0.398
chr3	4610000	4650000	3099	chr3	4609622	4610123	5.55	5.11	0.44	0.216	0.398
chr1	235060000	235100000	1540	chr1	235085255	235085756	5.53	5.21	0.32	0.216	0.398
chr2	20770000	20800000	1754	chr2	20782995	20783496	3.76	4.53	-0.77	0.216	0.399
chr13	95380000	95450000	13063	chr13	95380632	95381133	5.8	6.13	-0.33	0.216	0.399
chr2	20420000	20450000	1751	chr2	20437301	20437802	5.66	6	-0.34	0.216	0.399
chr9	134710000	134750000	9878	chr9	134732643	134733144	4.72	4.21	0.5	0.216	0.399
chr10	42740000	42780000	10213	chr10	42754288	42754789	7.1	7.37	-0.27	0.216	0.399
chr5	176940000	176970000	6127	chr5	176946055	176946556	5.64	6.02	-0.39	0.217	0.399
chr13	43280000	43310000	12919	chr13	43308989	43309490	4.13	4.64	-0.52	0.217	0.399
chr22	17490000	17520000	16987	chr22	17499060	17499561	3.33	4.13	-0.8	0.217	0.399
chr12	13200000	13230000	11917	chr12	13211705	13212206	5.62	5.94	-0.32	0.217	0.399
chr14	96570000	96600000	13680	chr14	96575073	96575574	4.38	3.85	0.53	0.217	0.399
chr7	27120000	27180000	7487	chr7	27130800	27131301	7.27	6.98	0.29	0.217	0.399
chr7	107170000	107230000	8054	chr7	107208958	107209459	5.11	4.69	0.43	0.217	0.399
chr22	42750000	42790000	17220	chr22	42751794	42752295	5.02	4.6	0.42	0.217	0.399
chr17	72520000	72590000	15374	chr17	72538806	72539307	5.42	5.06	0.35	0.217	0.399
chr12	115750000	115800000	12612	chr12	115773668	115774169	5.26	4.84	0.42	0.217	0.399
chr2	1740000	1770000	1637	chr2	1751177	1751678	6.35	6.06	0.29	0.217	0.399
chr6	5130000	5160000	6210	chr6	5133643	5134144	4.48	3.95	0.53	0.217	0.399
chr6	136290000	136340000	7064	chr6	136313343	136313844	4.04	4.55	-0.51	0.217	0.399
chr16	800000	840000	14279	chr16	800317	800818	5.43	5.76	-0.33	0.217	0.399
chr3	104570000	104620000	3701	chr3	104599867	104600368	6.6	6.89	-0.29	0.217	0.399
chr1	27590000	27620000	249	chr1	27589809	27590310	5.51	5.07	0.44	0.217	0.399
chr17	78960000	78980000	15438	chr17	78975828	78976329	6.79	6.53	0.26	0.217	0.399
chr16	23310000	23320000	14429	chr16	23316770	23317271	4.76	4.24	0.52	0.217	0.4
chr5	66800000	66840000	5469	chr5	66828787	66829288	6.06	5.78	0.28	0.217	0.4
chr5	142990000	143030000	5906	chr5	143023451	143023952	5.71	5.31	0.39	0.217	0.4
chr14	20600000	20630000	13164	chr14	20612970	20613471	4.48	4.85	-0.36	0.217	0.4
chr16	89480000	89540000	14792	chr16	89507945	89508446	7.57	7.29	0.28	0.217	0.4
chr8	57980000	58020000	8685	chr8	58016507	58017008	5.1	4.71	0.39	0.217	0.4
chr6	154140000	154170000	7204	chr6	154156282	154156783	5.92	5.53	0.39	0.218	0.4
chr15	52250000	52280000	13890	chr15	52251663	52252164	4.31	4.81	-0.5	0.218	0.4
chr8	133190000	133240000	9107	chr8	133192032	133192533	5.17	4.76	0.41	0.218	0.4
chr11	64130000	64160000	11321	chr11	64131980	64132481	4.85	4.38	0.47	0.218	0.4
chr2	38250000	38290000	1853	chr2	38260413	38260914	5.13	4.74	0.39	0.218	0.4
chr9	32370000	32400000	9306	chr9	32384581	32385082	7.47	7.21	0.26	0.218	0.4
chr6	110480000	110540000	6879	chr6	110520852	110521353	5.24	4.88	0.36	0.218	0.4
chr4	76720000	76790000	4635	chr4	76733132	76733633	5.25	5.57	-0.32	0.218	0.4
chr10	5660000	5690000	9936	chr10	5668483	5668984	3.87	4.45	-0.58	0.218	0.4
chr13	33200000	33240000	12830	chr13	33217926	33218427	5.67	5.36	0.32	0.218	0.4
chr6	47400000	47430000	6596	chr6	47413716	47414217	4.79	5.15	-0.36	0.218	0.4
chr14	99500000	99530000	13696	chr14	99522077	99522578	4.8	4.31	0.49	0.218	0.4
chr6	5130000	5160000	6210	chr6	5139946	5140447	4.33	4.81	-0.48	0.218	0.4
chr16	84510000	84530000	14752	chr16	84514200	84514701	5.37	4.91	0.45	0.218	0.4
chr5	122490000	122530000	5742	chr5	122500458	122500959	4.86	4.31	0.54	0.218	0.401
chr2	27690000	27750000	1795	chr2	27735292	27735793	7.01	6.69	0.32	0.218	0.401
chr15	58200000	58270000	13926	chr15	58248418	58248919	6.79	6.48	0.31	0.218	0.401
chr14	22550000	22580000	13174	chr14	22570588	22571089	4.72	5.07	-0.35	0.218	0.401
chr4	183250000	183280000	5110	chr4	183256239	183256740	5.52	5.82	-0.31	0.219	0.401
chr9	73010000	73110000	9388	chr9	73108764	73109265	5.22	4.85	0.36	0.219	0.401
chr17	31520000	31580000	15030	chr17	31579022	31579523	5.61	5.25	0.36	0.219	0.402
chr6	43750000	43790000	6566	chr6	43767100	43767601	5.09	4.63	0.46	0.219	0.402
chr3	194970000	195000000	4296	chr3	194976196	194976697	4.99	4.53	0.47	0.219	0.402
chr9	137270000	137310000	9895	chr9	137300946	137301447	7.21	6.89	0.32	0.219	0.402
chr4	128800000	128870000	4899	chr4	128808343	128808844	4.1	3.48	0.62	0.219	0.402
chr19	13070000	13100000	15990	chr19	13096087	13096588	5.26	4.92	0.34	0.219	0.402
chr4	4860000	4890000	4341	chr4	4859802	4860303	7.33	6.75	0.58	0.219	0.402
chr16	72800000	72850000	14679	chr16	72845863	72846364	4.85	4.4	0.45	0.219	0.402
chr15	48860000	48880000	13869	chr15	48878104	48878605	7.77	7.53	0.24	0.219	0.402
chr19	13070000	13100000	15990	chr19	13081799	13082300	4.84	4.45	0.39	0.219	0.402
chr8	27310000	27330000	8514	chr8	27325582	27326083	7.26	7.51	-0.25	0.219	0.402
chr12	131820000	131860000	12726	chr12	131835236	131835737	4.53	4.97	-0.44	0.219	0.402
chr21	45120000	45150000	16973	chr21	45130476	45130977	5.05	4.68	0.37	0.219	0.402
chr2	33020000	33050000	1828	chr2	33033768	33034269	4.82	4.36	0.45	0.219	0.402
chr4	73650000	73690000	4606	chr4	73671071	73671572	3.8	4.32	-0.52	0.219	0.402
chr9	5870000	5900000	9203	chr9	5871974	5872475	4.96	5.42	-0.45	0.22	0.402
chr20	57580000	57660000	16719	chr20	57594087	57594588	4.39	3.78	0.61	0.22	0.402
chr11	15900000	15940000	11002	chr11	15901587	15902088	6.18	5.85	0.32	0.22	0.402
chr11	125110000	125170000	11731	chr11	125165421	125165922	7.53	7.29	0.24	0.22	0.402
chr16	31850000	31880000	14524	chr16	31868716	31869217	4.65	4.19	0.46	0.22	0.402
chr18	44660000	44690000	15712	chr18	44685866	44686367	4.75	4.28	0.47	0.22	0.402
chr19	9780000	9820000	15969	chr19	9792704	9793205	7.65	7.39	0.26	0.22	0.402
chr19	32210000	32240000	16083	chr19	32222557	32223058	4.95	4.52	0.44	0.22	0.402
chr1	27590000	27620000	249	chr1	27614584	27615085	4.76	4.19	0.57	0.22	0.403
chr15	85820000	85840000	14159	chr15	85837255	85837756	5.35	4.95	0.4	0.22	0.403
chr1	234710000	234750000	1537	chr1	234713105	234713606	4.94	5.32	-0.39	0.22	0.403
chr6	26560000	26620000	6422	chr6	26595818	26596319	6.64	6.37	0.27	0.22	0.403
chr3	149500000	149560000	4002	chr3	149536374	149536875	5.32	4.93	0.38	0.22	0.403
chr11	121520000	121600000	11696	chr11	121588095	121588596	4.66	4.2	0.46	0.22	0.403
chr2	30680000	30740000	1820	chr2	30693733	30694234	4.5	4.91	-0.4	0.22	0.403
chr3	58140000	58200000	3481	chr3	58154900	58155401	4.66	4.12	0.54	0.22	0.403
chr17	76100000	76130000	15403	chr17	76121401	76121902	7.33	7.05	0.28	0.221	0.403
chr4	110500000	110530000	4816	chr4	110516166	110516667	5.51	5.84	-0.33	0.221	0.404
chr5	80260000	80320000	5581	chr5	80288368	80288869	3.95	4.53	-0.59	0.221	0.404
chr1	63750000	63790000	574	chr1	63788860	63789361	5.43	5	0.43	0.221	0.404
chr20	50570000	50600000	16659	chr20	50592280	50592781	5.55	5.17	0.38	0.221	0.404
chr3	51990000	52030000	3430	chr3	52020119	52020620	4.93	4.41	0.51	0.221	0.404
chrX	12940000	12990000	17330	chrX	12989230	12989731	3.23	4.21	-0.99	0.221	0.404
chr3	42520000	42550000	3340	chr3	42540021	42540522	5.96	6.35	-0.39	0.221	0.404
chr17	82910000	82940000	15473	chr17	82912309	82912810	4.91	4.37	0.54	0.221	0.404
chr18	74540000	74560000	15864	chr18	74542001	74542502	5.51	4.99	0.52	0.221	0.404
chr9	37900000	37930000	9341	chr9	37917330	37917831	5.45	5.06	0.39	0.221	0.404
chr14	69450000	69480000	13499	chr14	69458230	69458731	5.24	5.62	-0.39	0.221	0.404
chr7	100680000	100720000	8005	chr7	100711221	100711722	4.86	5.3	-0.43	0.221	0.404
chr1	23170000	23210000	212	chr1	23179174	23179675	4.44	3.91	0.52	0.221	0.404
chr21	14840000	14880000	16787	chr21	14864340	14864841	5.5	5.84	-0.34	0.221	0.404
chr17	50280000	50310000	15192	chr17	50304907	50305408	5.65	5.33	0.31	0.221	0.404
chr10	95410000	95450000	10590	chr10	95416173	95416674	4.74	4.3	0.44	0.221	0.404
chr20	45280000	45340000	16595	chr20	45329317	45329818	4.54	4.96	-0.42	0.221	0.404
chr9	127890000	127930000	9819	chr9	127913586	127914087	4.99	4.58	0.41	0.221	0.404
chr9	86410000	86510000	9459	chr9	86410299	86410800	4.29	4.73	-0.44	0.221	0.404
chr5	156790000	156840000	5999	chr5	156824428	156824929	4.44	4.85	-0.42	0.221	0.404
chr17	63590000	63620000	15296	chr17	63600742	63601243	7.4	7.13	0.27	0.221	0.404
chr1	19900000	19960000	178	chr1	19918246	19918747	4.4	3.89	0.52	0.221	0.404
chr1	153910000	154000000	930	chr1	153958097	153958598	7.61	7.31	0.31	0.221	0.404
chr1	167680000	167700000	1070	chr1	167697413	167697914	6.11	5.78	0.33	0.222	0.405
chr13	30780000	30820000	12809	chr13	30792296	30792797	5.79	5.51	0.28	0.222	0.405
chr4	186290000	186310000	5133	chr4	186297269	186297770	3.95	3.29	0.66	0.222	0.405
chr2	206670000	206710000	2783	chr2	206709033	206709534	4.37	3.88	0.49	0.222	0.405
chr3	50350000	50390000	3413	chr3	50350590	50351091	7.3	7.07	0.24	0.222	0.405
chr1	32920000	32960000	305	chr1	32949265	32949766	5.45	5.84	-0.39	0.222	0.405
chr20	41160000	41190000	16548	chr20	41174649	41175150	4.66	4.18	0.48	0.222	0.405
chr20	38730000	38760000	16532	chr20	38731081	38731582	5.45	5.11	0.35	0.222	0.405
chr1	211490000	211540000	1349	chr1	211515233	211515734	6.92	6.61	0.31	0.222	0.405
chr11	128620000	128650000	11758	chr11	128626400	128626901	4.76	4.33	0.44	0.222	0.405
chr2	43460000	43530000	1892	chr2	43460675	43461176	5.8	5.49	0.31	0.222	0.405
chr1	43910000	43950000	408	chr1	43933356	43933857	7.29	7.02	0.27	0.222	0.405
chr9	35250000	35280000	9320	chr9	35276938	35277439	4.7	5.07	-0.37	0.222	0.405
chr5	14990000	15020000	5209	chr5	15006046	15006547	5.42	5.8	-0.37	0.222	0.405
chr17	77310000	77350000	15415	chr17	77316974	77317475	4.75	4.27	0.48	0.222	0.405
chr4	75840000	75870000	4625	chr4	75848321	75848822	4.24	4.69	-0.45	0.222	0.406
chr6	13780000	13810000	6294	chr6	13797544	13798045	6.17	6.49	-0.32	0.222	0.406
chr16	81370000	81420000	14735	chr16	81395121	81395622	5.11	4.69	0.43	0.222	0.406
chr16	19350000	19400000	14392	chr16	19380108	19380609	5.1	5.43	-0.33	0.222	0.406
chr2	48090000	48140000	1928	chr2	48106865	48107366	5.38	5	0.38	0.223	0.406
chr3	184520000	184540000	4194	chr3	184525197	184525698	6.93	6.6	0.33	0.223	0.406
chr18	35940000	35970000	15681	chr18	35950060	35950561	6.58	6.29	0.29	0.223	0.406
chr12	47710000	47740000	12125	chr12	47717761	47718262	6.96	6.71	0.24	0.223	0.406
chr3	133560000	133600000	3893	chr3	133573903	133574404	7.63	6.79	0.84	0.223	0.406
chr2	160940000	161020000	2502	chr2	160994016	160994517	5.1	4.72	0.38	0.223	0.406
chr15	64800000	64820000	13991	chr15	64807639	64808140	5.12	4.7	0.42	0.223	0.406
chr9	129110000	129180000	9827	chr9	129164183	129164684	6.24	6.55	-0.31	0.223	0.406
chr1	39070000	39120000	361	chr1	39086718	39087219	4.81	4.4	0.41	0.223	0.406
chr11	133060000	133160000	11794	chr11	133082497	133082998	4.9	4.27	0.62	0.223	0.407
chr11	63990000	64020000	11320	chr11	64007618	64008119	5.71	5.23	0.48	0.223	0.407
chr1	84100000	84160000	661	chr1	84142129	84142630	3.5	4.28	-0.77	0.224	0.407
chr2	172160000	172190000	2577	chr2	172172525	172173026	6.59	6.3	0.29	0.224	0.407
chr7	122900000	122920000	8138	chr7	122919220	122919721	4.58	5.01	-0.43	0.224	0.407
chr19	46830000	46870000	16191	chr19	46868818	46869319	4.04	4.53	-0.49	0.224	0.407
chr6	73460000	73510000	6740	chr6	73461048	73461549	6.71	6.45	0.26	0.224	0.407
chr2	159110000	159130000	2493	chr2	159119459	159120310	5.39	5.08	0.31	0.224	0.407
chr6	134130000	134190000	7039	chr6	134167619	134168120	4.65	4.21	0.44	0.224	0.407
chr1	67140000	67190000	599	chr1	67139656	67140157	2.83	3.94	-1.11	0.224	0.407
chr1	30780000	30810000	282	chr1	30798164	30798665	4.79	4.39	0.41	0.224	0.407
chr18	34990000	35030000	15674	chr18	35027720	35028221	4.67	4.28	0.39	0.224	0.407
chr2	42940000	42990000	1886	chr2	42951671	42952172	4.78	4.34	0.44	0.224	0.408
chr5	75730000	75760000	5545	chr5	75729571	75730072	4.59	4.02	0.57	0.224	0.408
chr20	32450000	32490000	16450	chr20	32470537	32471038	4.99	4.53	0.46	0.224	0.408
chr12	12910000	12930000	11914	chr12	12915543	12916044	4.7	4.25	0.45	0.225	0.408
chrX	19870000	19910000	17378	chrX	19887869	19888370	6.56	6.2	0.37	0.225	0.408
chr7	30950000	31000000	7520	chr7	30969939	30970440	6.51	6.18	0.33	0.225	0.408
chr1	212440000	212490000	1359	chr1	212482300	212482801	5.45	5.04	0.4	0.225	0.408
chr21	36910000	36940000	16895	chr21	36917321	36917822	5.94	6.29	-0.34	0.225	0.408
chr22	40510000	40530000	17197	chr22	40526128	40526629	4.81	4.36	0.45	0.225	0.408
chr21	35830000	35850000	16883	chr21	35848730	35849231	4.66	4.14	0.52	0.225	0.408
chr1	61000000	61080000	553	chr1	61043049	61043550	7.26	7.01	0.25	0.225	0.409
chr11	113990000	114080000	11618	chr11	114021122	114021623	4.98	4.57	0.41	0.225	0.409
chr5	170190000	170270000	6074	chr5	170267385	170267886	5.29	4.9	0.39	0.225	0.409
chr17	17560000	17590000	14954	chr17	17580665	17581166	4.83	4.41	0.43	0.225	0.409
chr12	114900000	114940000	12604	chr12	114914067	114914568	6	6.26	-0.26	0.225	0.409
chr12	89480000	89530000	12380	chr12	89525212	89525713	7.75	7.49	0.25	0.225	0.409
chr3	71620000	71670000	3599	chr3	71658309	71658810	6.4	6.7	-0.3	0.225	0.409
chr17	29580000	29670000	15007	chr17	29613252	29613753	5.33	4.88	0.45	0.225	0.409
chr1	230760000	230820000	1494	chr1	230760348	230760849	3.82	4.41	-0.6	0.225	0.409
chr17	32740000	32800000	15039	chr17	32783897	32784398	4.55	4.97	-0.42	0.225	0.409
chr17	77050000	77100000	15412	chr17	77086592	77087093	5.29	4.92	0.36	0.225	0.409
chr5	141400000	141420000	5889	chr5	141412984	141413485	4.85	5.86	-1.02	0.226	0.409
chr7	30150000	30190000	7514	chr7	30163431	30163932	5.41	4.94	0.47	0.226	0.409
chr11	13330000	13360000	10977	chr11	13339025	13339526	5.52	5.18	0.34	0.226	0.409
chr8	98020000	98070000	8883	chr8	98027597	98028098	4.41	3.73	0.68	0.226	0.409
chr20	4940000	4960000	16287	chr20	4942428	4942929	4.94	4.46	0.47	0.226	0.41
chr22	21920000	21950000	17013	chr22	21946892	21947393	5.71	5.38	0.33	0.226	0.41
chr20	59020000	59100000	16734	chr20	59098108	59098609	5.89	5.49	0.41	0.226	0.41
chr4	165450000	165480000	5047	chr4	165451835	165452336	3.25	4.12	-0.87	0.226	0.41
chr6	53440000	53520000	6637	chr6	53473533	53474034	5.09	5.49	-0.4	0.226	0.41
chr2	172090000	172130000	2576	chr2	172102393	172102894	7.15	6.86	0.29	0.226	0.41
chr6	10480000	10520000	6260	chr6	10510653	10511154	5.48	5.81	-0.33	0.226	0.41
chr2	172790000	172820000	2580	chr2	172806987	172807488	4.64	5.08	-0.44	0.226	0.41
chr6	41430000	41480000	6538	chr6	41450983	41451484	5.84	5.5	0.34	0.226	0.41
chr5	154160000	154210000	5985	chr5	154185847	154186348	4.37	5.22	-0.85	0.226	0.41
chr14	25020000	25060000	13197	chr14	25049568	25050069	6.88	7.15	-0.27	0.227	0.41
chr1	32390000	32450000	297	chr1	32394097	32394598	7.65	7.4	0.25	0.227	0.41
chr8	95020000	95070000	8859	chr8	95020720	95021221	5.68	6.03	-0.35	0.227	0.41
chr17	19510000	19530000	14965	chr17	19526310	19526811	4.77	4.27	0.5	0.227	0.41
chr5	67220000	67280000	5473	chr5	67245704	67246205	4.61	4.17	0.44	0.227	0.411
chr17	67460000	67490000	15329	chr17	67487788	67488289	5.19	4.83	0.36	0.227	0.411
chr15	101080000	101100000	14268	chr15	101083375	101083876	5.6	5.23	0.36	0.227	0.411
chr11	96020000	96070000	11542	chr11	96055144	96055645	5.28	5.62	-0.34	0.227	0.411
chr5	7740000	7770000	5180	chr5	7763440	7763941	5.02	4.6	0.42	0.227	0.411
chr9	76430000	76450000	9408	chr9	76444396	76444897	4.58	5.07	-0.49	0.227	0.411
chr12	54720000	54760000	12194	chr12	54759883	54760384	4.27	4.73	-0.46	0.227	0.411
chr2	102150000	102180000	2248	chr2	102155400	102155901	6.18	6.51	-0.33	0.227	0.411
chr8	101280000	101350000	8915	chr8	101333021	101333522	6.37	6.62	-0.25	0.227	0.411
chr2	45910000	45950000	1906	chr2	45943699	45944200	4.47	4.88	-0.4	0.227	0.411
chr2	205650000	205690000	2777	chr2	205656377	205656878	4.54	5.04	-0.5	0.227	0.411
chr14	68300000	68320000	13487	chr14	68319458	68319959	4.34	4.77	-0.43	0.227	0.411
chr1	112380000	112400000	807	chr1	112396235	112396736	8	7.78	0.22	0.227	0.411
chr14	90680000	90710000	13624	chr14	90696941	90697442	5.53	5.89	-0.36	0.227	0.411
chr21	35380000	35430000	16881	chr21	35428455	35428956	5.42	5.06	0.37	0.227	0.411
chr4	73650000	73690000	4606	chr4	73677765	73678266	4.29	3.67	0.61	0.227	0.411
chr20	34300000	34330000	16476	chr20	34301115	34301616	5.01	5.32	-0.31	0.227	0.411
chr5	64590000	64660000	5450	chr5	64619236	64619737	4.6	4.14	0.46	0.227	0.411
chr16	25670000	25710000	14459	chr16	25688278	25688779	5.23	4.9	0.34	0.227	0.411
chr17	10300000	10340000	14887	chr17	10310756	10311257	4.63	4.05	0.59	0.227	0.411
chr6	12270000	12330000	6280	chr6	12285424	12285925	4.17	3.54	0.63	0.228	0.411
chr17	79690000	79720000	15444	chr17	79708390	79708891	4.94	4.58	0.36	0.228	0.411
chr11	64130000	64160000	11321	chr11	64150661	64151162	4.36	4.93	-0.57	0.228	0.412
chr3	194290000	194360000	4291	chr3	194323922	194324423	6.56	6.19	0.37	0.228	0.412
chr19	41440000	41460000	16166	chr19	41457901	41458402	4.78	4.34	0.44	0.228	0.412
chr1	151550000	151600000	909	chr1	151596599	151597100	4.38	4.84	-0.46	0.228	0.412
chr4	88680000	88720000	4739	chr4	88697449	88697950	6.95	6.65	0.31	0.228	0.412
chr1	67740000	67780000	605	chr1	67760695	67761196	5.5	5.81	-0.31	0.228	0.412
chr2	105340000	105380000	2267	chr2	105344613	105345114	4.19	4.76	-0.57	0.228	0.412
chr7	45880000	45940000	7637	chr7	45924495	45924996	4.93	4.42	0.52	0.228	0.412
chr10	5430000	5470000	9934	chr10	5453942	5454443	5.6	6.03	-0.43	0.228	0.412
chr10	4640000	4670000	9928	chr10	4640142	4640643	4.77	5.12	-0.35	0.228	0.412
chr5	140370000	140400000	5879	chr5	140372672	140373173	5.17	5.5	-0.33	0.229	0.412
chr5	168270000	168290000	6059	chr5	168286350	168286851	4.41	4.88	-0.47	0.229	0.413
chr6	110480000	110540000	6879	chr6	110523604	110524105	5.04	4.55	0.49	0.229	0.413
chr20	50770000	50810000	16661	chr20	50795012	50795513	7.21	6.9	0.3	0.229	0.413
chr17	42310000	42330000	15135	chr17	42324780	42325281	4.58	5	-0.42	0.229	0.413
chr4	87540000	87560000	4731	chr4	87543157	87543658	5.14	4.73	0.41	0.229	0.413
chr10	8040000	8070000	9963	chr10	8051380	8051881	5.37	4.44	0.93	0.229	0.413
chr2	177130000	177190000	2618	chr2	177148529	177149030	5.05	4.69	0.37	0.229	0.413
chr1	225940000	225990000	1463	chr1	225940875	225941376	4.78	4.28	0.5	0.229	0.413
chr2	29180000	29250000	1805	chr2	29233533	29234034	5.2	5.58	-0.38	0.229	0.413
chr13	33200000	33240000	12830	chr13	33208014	33208515	5.38	4.91	0.48	0.229	0.413
chr11	117930000	117970000	11652	chr11	117930821	117931322	5.33	4.9	0.43	0.229	0.413
chr1	156590000	156650000	970	chr1	156641971	156642472	5.59	5.2	0.39	0.23	0.414
chr3	43140000	43180000	3348	chr3	43162564	43163065	5.34	4.91	0.43	0.23	0.414
chr12	53690000	53720000	12187	chr12	53701959	53702460	4.92	5.31	-0.39	0.23	0.414
chr11	118040000	118090000	11653	chr11	118044284	118044785	4.3	3.66	0.64	0.23	0.414
chr12	116230000	116290000	12617	chr12	116277117	116277618	7.32	6.53	0.78	0.23	0.414
chr8	19250000	19300000	8442	chr8	19291448	19291949	4.72	5.15	-0.43	0.23	0.414
chrX	12940000	12990000	17330	chrX	12988196	12988697	4.73	5.13	-0.4	0.23	0.414
chr19	18840000	18910000	16042	chr19	18848934	18849435	6.56	6.3	0.26	0.23	0.414
chr12	115610000	115640000	12610	chr12	115623833	115624334	4.54	4.03	0.51	0.23	0.414
chr3	107230000	107270000	3709	chr3	107235339	107235840	5.77	6.06	-0.28	0.23	0.414
chr7	131000000	131040000	8184	chr7	131015633	131016134	4.96	4.56	0.4	0.23	0.414
chr5	137280000	137310000	5842	chr5	137288295	137288796	4.61	5.02	-0.41	0.23	0.414
chr3	188150000	188220000	4230	chr3	188150663	188151164	4.38	4.82	-0.44	0.23	0.414
chr1	31780000	31810000	292	chr1	31797874	31798375	4.84	4.28	0.56	0.23	0.414
chr11	9610000	9640000	10931	chr11	9613360	9613861	8.04	7.85	0.19	0.23	0.415
chr8	52560000	52600000	8649	chr8	52565211	52565712	5.9	5.46	0.44	0.23	0.415
chr16	4310000	4350000	14298	chr16	4313821	4314322	5.43	5.06	0.37	0.231	0.415
chr1	32390000	32450000	297	chr1	32400946	32401447	5.54	5.81	-0.28	0.231	0.415
chr14	100170000	100200000	13704	chr14	100192515	100193016	7.44	7.23	0.21	0.231	0.415
chr2	20620000	20650000	1752	chr2	20634166	20634667	7.07	6.77	0.3	0.231	0.415
chr2	200290000	200330000	2733	chr2	200311681	200312182	5.04	4.68	0.35	0.231	0.415
chr4	10530000	10550000	4374	chr4	10531446	10531947	4.58	4.12	0.46	0.231	0.415
chr10	24340000	24390000	10104	chr10	24343624	24344125	4.4	4.85	-0.44	0.231	0.415
chr12	50470000	50510000	12152	chr12	50508936	50509437	5.41	5.04	0.37	0.231	0.415
chr1	21560000	21580000	196	chr1	21573675	21574176	5.38	5.07	0.32	0.231	0.415
chr1	31160000	31210000	285	chr1	31170746	31171247	5.45	5.05	0.39	0.231	0.415
chr18	6980000	7050000	15535	chr18	7003966	7004467	6.36	6.77	-0.41	0.231	0.415
chr16	75100000	75130000	14692	chr16	75105545	75106046	5.26	4.9	0.36	0.231	0.416
chr11	102490000	102510000	11559	chr11	102493612	102494113	3.35	4.23	-0.88	0.231	0.416
chr6	155140000	155200000	7216	chr6	155188425	155188926	5.84	5.54	0.31	0.232	0.416
chr2	148970000	149030000	2450	chr2	149003192	149003693	5.92	5.59	0.33	0.232	0.416
chr3	149710000	149750000	4004	chr3	149739023	149739524	4.32	3.7	0.62	0.232	0.416
chr6	35440000	35470000	6486	chr6	35448944	35449445	4.01	4.47	-0.46	0.232	0.416
chr20	50770000	50810000	16661	chr20	50788430	50788931	4.83	5.23	-0.4	0.232	0.416
chr13	110080000	110130000	13136	chr13	110110371	110110872	4.52	3.99	0.53	0.232	0.416
chr22	50230000	50270000	17289	chr22	50269954	50270455	6.25	5.83	0.42	0.232	0.416
chr11	111210000	111260000	11598	chr11	111230624	111231125	6.5	6.23	0.26	0.232	0.416
chr16	73170000	73200000	14682	chr16	73170593	73171094	5.63	5.91	-0.28	0.232	0.416
chr15	82980000	83020000	14142	chr15	83011341	83011842	7.25	7.01	0.24	0.232	0.417
chr1	245980000	246040000	1621	chr1	246006769	246007270	4.66	4.27	0.39	0.232	0.417
chr20	63960000	63980000	16782	chr20	63970012	63970513	6.9	6.6	0.3	0.232	0.417
chr9	112060000	112120000	9673	chr9	112061914	112062415	5.04	4.51	0.53	0.232	0.417
chr9	129110000	129180000	9827	chr9	129148003	129148504	5.1	4.68	0.42	0.232	0.417
chr17	40840000	40920000	15126	chr17	40911680	40912181	5.6	5.27	0.33	0.232	0.417
chr7	112540000	112570000	8084	chr7	112551430	112551931	3.5	2.75	0.75	0.232	0.417
chr5	126520000	126560000	5750	chr5	126535385	126535886	5.21	5.54	-0.33	0.232	0.417
chr4	89000000	89040000	4741	chr4	89029336	89029837	5.27	4.9	0.37	0.233	0.417
chr20	44670000	44700000	16590	chr20	44695008	44695509	4.64	4.14	0.5	0.233	0.417
chr11	86800000	86840000	11502	chr11	86803612	86804113	4.82	4.41	0.41	0.233	0.417
chr15	99060000	99110000	14254	chr15	99106659	99107160	4.78	4.38	0.41	0.233	0.417
chr2	171560000	171620000	2571	chr2	171564923	171565424	6.32	6.63	-0.3	0.233	0.417
chr2	239120000	239160000	3056	chr2	239151334	239151835	5.55	5.14	0.41	0.233	0.417
chr6	16740000	16800000	6329	chr6	16781422	16781923	5.85	5.37	0.47	0.233	0.417
chr18	76340000	76360000	15872	chr18	76352040	76352541	5.72	5.35	0.37	0.233	0.417
chr10	24500000	24550000	10105	chr10	24499669	24500170	4.27	4.76	-0.49	0.233	0.417
chr15	88240000	88290000	14170	chr15	88257210	88257711	4.85	4.42	0.43	0.233	0.417
chr17	50540000	50560000	15193	chr17	50550805	50551306	5.12	5.49	-0.37	0.233	0.417
chr8	47640000	47670000	8623	chr8	47669405	47669906	5.43	5.8	-0.38	0.233	0.417
chr10	86390000	86410000	10528	chr10	86389504	86390005	4.8	4.21	0.59	0.233	0.417
