chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr6	168145761	168146262	501	*	4.74	4.91	4.5	0.41	0.235	0.42	61227
chr13	44301089	44301590	501	*	6.12	6.24	5.95	0.29	0.235	0.42	61232
chr5	148741404	148741905	501	*	4.52	4.32	4.75	-0.43	0.236	0.42	61233
chr17	76102187	76102688	501	*	4.67	4.46	4.89	-0.44	0.236	0.42	61243
chr15	40267058	40267559	501	*	4.22	4.45	3.87	0.59	0.236	0.42	61244
chr16	57409941	57410442	501	*	4.81	4.99	4.55	0.45	0.236	0.42	61246
chr10	79075882	79076383	501	*	5.17	5.32	4.96	0.36	0.236	0.42	61248
chr3	134308632	134309133	501	*	5.32	5.46	5.13	0.33	0.236	0.42	61250
chr1	32349150	32349651	501	*	4.64	4.8	4.41	0.39	0.236	0.42	61251
chr18	62420857	62421358	501	*	6.43	6.53	6.29	0.24	0.236	0.42	61252
chr2	86072260	86072761	501	*	5.56	5.71	5.34	0.37	0.236	0.42	61254
chr20	17609011	17609512	501	*	4.53	4.29	4.79	-0.5	0.236	0.421	61260
chr14	95198137	95198638	501	*	4.69	4.85	4.47	0.38	0.236	0.421	61262
chr9	135960677	135961178	501	*	7.51	7.64	7.33	0.31	0.236	0.421	61266
chr14	61630259	61630760	501	*	4.52	4.31	4.75	-0.45	0.236	0.421	61269
chr15	45307237	45307738	501	*	4.77	4.6	4.96	-0.36	0.236	0.421	61276
chr18	7561877	7562378	501	*	4.94	4.77	5.13	-0.36	0.236	0.421	61277
chr5	151756517	151757018	501	*	4.53	4.69	4.29	0.41	0.236	0.421	61278
chrX	12949693	12950194	501	*	5.22	5.36	5.02	0.34	0.236	0.421	61279
chr3	195132971	195133472	501	*	5.19	4.97	5.44	-0.47	0.236	0.421	61280
chr2	20630743	20631244	501	*	5.11	5.25	4.91	0.35	0.236	0.421	61282
chr11	10669321	10669822	501	*	5.27	5.4	5.08	0.32	0.236	0.421	61287
chr5	173304222	173304723	501	*	4.5	4.17	4.82	-0.65	0.236	0.421	61289
chr5	74296969	74297470	501	*	4.5	4.7	4.22	0.48	0.236	0.421	61294
chr8	140831671	140832172	501	*	4.33	4.1	4.59	-0.49	0.236	0.421	61295
chr10	61293883	61294384	501	*	6.76	6.63	6.92	-0.29	0.236	0.421	61299
chr8	10839488	10839989	501	*	6.86	7	6.68	0.32	0.236	0.421	61301
chr3	182259711	182260212	501	*	5.29	5.09	5.51	-0.42	0.236	0.421	61303
chr7	96794238	96794739	501	*	4.36	4.12	4.62	-0.51	0.236	0.421	61304
chr1	167752832	167753333	501	*	4.74	4.93	4.45	0.49	0.236	0.421	61306
chr11	6488970	6489471	501	*	4.83	4.62	5.06	-0.44	0.236	0.421	61309
chr1	176854317	176854818	501	*	4.3	4.57	3.86	0.71	0.236	0.421	61311
chr22	23522268	23522769	501	*	6.78	6.9	6.61	0.29	0.237	0.421	61336
chr13	95156936	95157437	501	*	4.91	5.06	4.69	0.36	0.237	0.421	61341
chr1	167936275	167936776	501	*	7.51	7.6	7.39	0.21	0.237	0.421	61342
chr1	23635061	23635562	501	*	6.35	6.48	6.18	0.31	0.237	0.421	61343
chr22	50016911	50017412	501	*	5.15	5.32	4.91	0.41	0.237	0.421	61345
chr17	73711854	73712355	501	*	4.36	4.54	4.08	0.46	0.237	0.421	61350
chr17	7177546	7178047	501	*	6.37	6.23	6.53	-0.3	0.237	0.421	61351
chrX	23789734	23790235	501	*	4.33	4.55	4.02	0.53	0.237	0.421	61352
chr9	81394054	81394555	501	*	5.61	5.73	5.44	0.3	0.237	0.421	61353
chr1	243354785	243355286	501	*	4.81	4.62	5.02	-0.4	0.237	0.421	61354
chr12	3149995	3150496	501	*	4.69	4.51	4.88	-0.37	0.237	0.421	61361
chr6	113692109	113692610	501	*	4.04	3.67	4.39	-0.72	0.237	0.421	61364
chr1	95023092	95023593	501	*	5.12	5.27	4.91	0.36	0.237	0.421	61368
chr11	16810768	16811269	501	*	5.67	5.84	5.43	0.41	0.237	0.422	61375
chr1	15421212	15421713	501	*	5.17	5	5.36	-0.36	0.237	0.422	61377
chr9	14178681	14179182	501	*	5.8	5.6	6.02	-0.42	0.237	0.422	61380
chr12	94558407	94558908	501	*	4.01	3.73	4.3	-0.57	0.237	0.422	61382
chrX	45507896	45508397	501	*	5.02	5.19	4.77	0.42	0.237	0.422	61383
chr10	125184547	125185048	501	*	5.89	5.73	6.06	-0.33	0.237	0.422	61384
chr16	66880474	66880975	501	*	7.45	7.54	7.33	0.21	0.237	0.422	61385
chr9	72532999	72533500	501	*	6.32	6.44	6.16	0.29	0.237	0.422	61400
chr1	184608622	184609123	501	*	5.44	5.29	5.61	-0.32	0.237	0.422	61406
chr17	28918795	28919296	501	*	4.81	4.98	4.56	0.43	0.237	0.422	61407
chr9	76454453	76455391	938	*	5.09	4.87	5.32	-0.45	0.237	0.422	61408
chr16	84730950	84731451	501	*	5.15	4.97	5.35	-0.38	0.237	0.422	61412
chr9	113454837	113455338	501	*	5.67	5.79	5.51	0.29	0.237	0.422	61417
chr5	74055847	74056348	501	*	5.36	5.5	5.16	0.34	0.237	0.422	61418
chr1	155910975	155911476	501	*	7.21	7.32	7.05	0.26	0.237	0.422	61422
chr16	88940428	88940929	501	*	7.1	7.23	6.92	0.31	0.237	0.422	61423
chr20	43937270	43937771	501	*	4.38	4.61	4.05	0.56	0.237	0.422	61424
chr7	155796704	155797205	501	*	6.07	6.22	5.87	0.35	0.237	0.422	61427
chr9	132799833	132800334	501	*	4.93	5.08	4.73	0.35	0.237	0.422	61429
chr6	5459322	5459823	501	*	4.77	4.55	5.01	-0.46	0.237	0.422	61430
chr1	226895465	226895966	501	*	5.46	5.63	5.22	0.41	0.237	0.422	61431
chr7	96786213	96786714	501	*	4.42	4.62	4.12	0.5	0.237	0.422	61437
chr2	1739723	1740224	501	*	5.83	5.96	5.65	0.31	0.238	0.422	61440
chr10	122298905	122299406	501	*	5.35	5.51	5.13	0.38	0.238	0.422	61444
chr16	21557958	21558459	501	*	4.56	4.78	4.21	0.58	0.238	0.422	61445
chr6	49856010	49856511	501	*	3.24	3.6	2.62	0.99	0.238	0.422	61446
chr7	101351530	101352031	501	*	4.79	4.58	5.02	-0.44	0.238	0.422	61451
chr1	48227720	48228221	501	*	4.61	4.76	4.38	0.38	0.238	0.423	61453
chr3	25428014	25428515	501	*	6.08	6.21	5.89	0.31	0.238	0.423	61459
chr1	107529763	107530264	501	*	5.13	5.31	4.88	0.42	0.238	0.423	61464
chr2	11829743	11830244	501	*	6.29	6.41	6.14	0.27	0.238	0.423	61468
chr2	234102418	234102919	501	*	4.48	4.68	4.19	0.49	0.238	0.423	61469
chr17	77935107	77935608	501	*	5.1	5.27	4.86	0.41	0.238	0.423	61471
chr2	172085487	172085988	501	*	6.76	7	6.4	0.59	0.238	0.423	61472
chr14	29584806	29585307	501	*	4.66	4.46	4.88	-0.43	0.238	0.423	61476
chr17	6443679	6444180	501	*	6.78	6.9	6.62	0.28	0.238	0.423	61477
chr6	36340736	36341237	501	*	5.61	5.73	5.45	0.28	0.238	0.423	61478
chr11	62124004	62124505	501	*	7.09	7.2	6.94	0.26	0.238	0.423	61480
chr1	30810112	30810613	501	*	5.08	5.24	4.83	0.41	0.238	0.423	61482
chr1	239411042	239411543	501	*	4.65	4.84	4.37	0.47	0.238	0.423	61485
chr4	1351600	1352101	501	*	5.8	5.93	5.62	0.31	0.238	0.423	61496
chr16	73866035	73866536	501	*	5.09	4.89	5.31	-0.42	0.238	0.423	61498
chr12	112125456	112125957	501	*	7.74	7.84	7.6	0.24	0.238	0.423	61503
chr16	69402438	69402939	501	*	5.27	5.09	5.47	-0.38	0.238	0.423	61508
chr15	45435187	45435688	501	*	5.01	4.82	5.22	-0.4	0.238	0.423	61513
chr14	60723429	60723930	501	*	7.71	7.81	7.58	0.23	0.238	0.423	61515
chr11	57323907	57324408	501	*	7.95	8.03	7.83	0.21	0.238	0.423	61519
chr7	91549844	91550345	501	*	4.54	4.27	4.82	-0.55	0.238	0.423	61524
chr8	73293767	73294268	501	*	7.65	7.74	7.53	0.21	0.238	0.423	61525
chr4	123651101	123651602	501	*	4.57	4.38	4.78	-0.4	0.238	0.423	61528
chr8	94823212	94823713	501	*	7.7	7.81	7.56	0.24	0.238	0.423	61529
chr16	85626471	85626972	501	*	5.88	6.02	5.67	0.35	0.238	0.423	61532
chr5	151669511	151670012	501	*	4.82	4.97	4.6	0.37	0.238	0.423	61533
chr1	8263092	8263593	501	*	4.85	5.02	4.61	0.41	0.239	0.423	61535
chr6	42547449	42547950	501	*	6.43	6.54	6.28	0.27	0.239	0.423	61537
chr2	121699927	121700428	501	*	5.01	5.16	4.79	0.38	0.239	0.423	61540
chr2	38274218	38274719	501	*	4.4	4.15	4.66	-0.51	0.239	0.424	61542
chr17	31693526	31694027	501	*	5.5	5.34	5.68	-0.34	0.239	0.424	61546
chr14	32256963	32257464	501	*	4.44	4.62	4.18	0.45	0.239	0.424	61549
chr11	73386423	73386924	501	*	4.79	4.98	4.5	0.47	0.239	0.424	61552
chr22	38036278	38036779	501	*	4.98	5.13	4.77	0.37	0.239	0.424	61559
chr9	96080387	96080888	501	*	6.02	6.14	5.84	0.3	0.239	0.424	61562
chr9	127734925	127735426	501	*	7.18	7.31	7	0.3	0.239	0.424	61565
chr8	133429089	133429590	501	*	5.71	5.55	5.9	-0.35	0.239	0.424	61566
chr12	47705660	47706161	501	*	7.42	7.53	7.28	0.25	0.239	0.424	61569
chr3	100260942	100261443	501	*	7.64	7.74	7.51	0.23	0.239	0.424	61572
chr15	64075690	64076191	501	*	4.3	4.06	4.55	-0.49	0.239	0.424	61573
chr12	67434685	67435186	501	*	4.65	4.82	4.4	0.42	0.239	0.424	61577
chr7	134729507	134730008	501	*	5.83	5.97	5.65	0.32	0.239	0.424	61578
chr16	50693482	50693983	501	*	6.81	6.94	6.63	0.31	0.239	0.424	61585
chr12	56988270	56988771	501	*	4.87	4.7	5.06	-0.35	0.239	0.424	61587
chr17	7571289	7571790	501	*	4.52	4.34	4.71	-0.37	0.239	0.424	61590
chr2	46002166	46002667	501	*	4.79	4.59	5.01	-0.41	0.239	0.424	61592
chr14	53306320	53306821	501	*	5.14	4.96	5.33	-0.36	0.239	0.424	61593
chr12	12394004	12394505	501	*	4.51	4.31	4.73	-0.42	0.239	0.424	61597
chr7	5369152	5369653	501	*	4.56	4.36	4.77	-0.4	0.239	0.424	61600
chr14	68459391	68459892	501	*	6.43	6.56	6.25	0.3	0.239	0.424	61603
chr17	29785781	29786282	501	*	5.53	5.68	5.31	0.38	0.239	0.424	61604
chr16	87635665	87636166	501	*	4.81	5	4.53	0.47	0.239	0.424	61606
chr3	177809099	177809600	501	*	5.72	5.87	5.5	0.37	0.239	0.424	61608
chr5	175695698	175696199	501	*	4.91	5.08	4.66	0.43	0.239	0.424	61609
chr4	140327698	140328199	501	*	3.96	3.66	4.27	-0.62	0.239	0.424	61610
chr7	2354052	2354553	501	*	7.92	8	7.81	0.18	0.239	0.424	61611
chr13	40477968	40478469	501	*	5.99	6.11	5.83	0.27	0.239	0.424	61616
chr17	75844838	75845339	501	*	6.72	6.85	6.56	0.29	0.239	0.425	61621
chr7	139653831	139654332	501	*	4.27	4.04	4.52	-0.48	0.24	0.425	61624
chr7	157254376	157254877	501	*	5.52	5.71	5.23	0.49	0.24	0.425	61625
chr1	169584724	169585225	501	*	4.4	4.59	4.13	0.46	0.24	0.425	61626
chr1	173190228	173190729	501	*	5.66	5.82	5.43	0.39	0.24	0.425	61628
chr20	4946975	4947476	501	*	4.4	4.6	4.11	0.49	0.24	0.425	61630
chr3	143897794	143898295	501	*	5.25	5.09	5.43	-0.34	0.24	0.425	61635
chr1	36134449	36134950	501	*	4.64	4.84	4.35	0.49	0.24	0.425	61636
chr7	24287400	24287901	501	*	5.19	5.4	4.88	0.52	0.24	0.425	61637
chr6	168171132	168171633	501	*	5.52	5.35	5.71	-0.36	0.24	0.425	61640
chr7	151758106	151758607	501	*	5.06	5.21	4.86	0.35	0.24	0.425	61644
chr1	19468282	19468783	501	*	5.74	5.6	5.91	-0.31	0.24	0.425	61645
chr17	42413680	42414181	501	*	4.73	4.57	4.91	-0.34	0.24	0.425	61648
chr10	51699290	51699791	501	*	7.75	7.83	7.64	0.19	0.24	0.425	61651
chr5	74673112	74673613	501	*	4.73	4.56	4.93	-0.37	0.24	0.425	61656
chr1	63776095	63776596	501	*	4.86	5	4.67	0.34	0.24	0.425	61657
chr22	41926322	41926823	501	*	6.84	7	6.61	0.39	0.24	0.425	61658
chr20	753429	753930	501	*	5.83	5.64	6.04	-0.4	0.24	0.425	61660
chr16	75096842	75097343	501	*	6.18	6.05	6.32	-0.27	0.24	0.425	61664
chr19	47429966	47430467	501	*	6.06	6.22	5.84	0.38	0.24	0.425	61666
chr12	55760647	55761148	501	*	4.33	4.51	4.08	0.42	0.24	0.425	61669
chr12	116529399	116529900	501	*	4.57	4.73	4.34	0.39	0.24	0.425	61672
chr8	66176959	66177460	501	*	5.39	5.24	5.57	-0.32	0.24	0.425	61673
chr11	82732912	82733413	501	*	6.3	6.46	6.08	0.38	0.24	0.425	61675
chrX	9320602	9321103	501	*	4.81	4.97	4.57	0.4	0.24	0.425	61677
chr5	76556633	76557134	501	*	5.59	5.44	5.74	-0.3	0.24	0.425	61680
chrX	12984678	12985179	501	*	5.46	5.28	5.65	-0.37	0.24	0.425	61682
chr7	100612378	100612879	501	*	7.56	7.67	7.41	0.26	0.24	0.425	61683
chr6	168363781	168364282	501	*	5.8	5.94	5.6	0.33	0.24	0.425	61691
chr9	70585863	70586364	501	*	4.62	4.81	4.34	0.47	0.24	0.425	61692
chr7	80766579	80767080	501	*	5.48	5.31	5.67	-0.36	0.24	0.425	61694
chr2	46966899	46967400	501	*	3.6	3.9	3.12	0.77	0.24	0.425	61702
chr15	89206901	89207402	501	*	5.19	5.03	5.37	-0.34	0.24	0.425	61705
chr22	45290369	45290870	501	*	5.85	5.69	6.03	-0.35	0.24	0.425	61708
chr16	86517059	86517560	501	*	5.68	5.82	5.48	0.34	0.24	0.426	61712
chr8	19928538	19929039	501	*	4.74	4.91	4.49	0.42	0.24	0.426	61713
chr2	172944324	172944825	501	*	5.89	5.5	6.27	-0.77	0.24	0.426	61714
chr14	61719481	61719982	501	*	4.61	4.38	4.85	-0.46	0.24	0.426	61720
chr19	55641341	55641842	501	*	7.32	7.42	7.19	0.23	0.24	0.426	61722
chr10	29590969	29591470	501	*	4.96	5.1	4.76	0.33	0.24	0.426	61725
chr6	16400064	16400565	501	*	5.03	5.19	4.81	0.37	0.241	0.426	61730
chr4	38182438	38182939	501	*	5	5.18	4.76	0.42	0.241	0.426	61734
chr20	52049137	52049638	501	*	4.27	4.51	3.91	0.6	0.241	0.426	61737
chr14	68911731	68912232	501	*	5.48	5.33	5.64	-0.32	0.241	0.426	61742
chr8	18913444	18913945	501	*	5.53	5.36	5.71	-0.36	0.241	0.426	61744
chr14	75132570	75133071	501	*	5.35	5.17	5.55	-0.38	0.241	0.426	61746
chr2	39229979	39230480	501	*	4.24	4.02	4.49	-0.47	0.241	0.426	61752
chr6	168893684	168894185	501	*	4.42	4.21	4.64	-0.43	0.241	0.426	61754
chr9	76806906	76807407	501	*	4.5	4.3	4.72	-0.41	0.241	0.426	61755
chr1	207898275	207898776	501	*	4.69	4.52	4.87	-0.35	0.241	0.426	61758
chr5	68265085	68265586	501	*	5.5	5.65	5.29	0.36	0.241	0.426	61760
chr6	44172830	44173331	501	*	5.05	4.86	5.26	-0.4	0.241	0.426	61761
chr1	92850979	92851480	501	*	4.87	4.68	5.07	-0.39	0.241	0.426	61762
chr12	93980616	93981117	501	*	3.8	3.41	4.17	-0.76	0.241	0.426	61766
chr1	38872874	38873375	501	*	7.04	7.16	6.86	0.3	0.241	0.426	61774
chr6	27835053	27835554	501	*	4.49	4.28	4.71	-0.43	0.241	0.426	61776
chr10	97196284	97196785	501	*	6.81	6.91	6.66	0.25	0.241	0.426	61777
chr9	133491965	133492466	501	*	4.78	4.97	4.5	0.47	0.241	0.426	61779
chr20	41344454	41344955	501	*	5.57	5.71	5.38	0.33	0.241	0.426	61781
chr6	12493656	12494157	501	*	5.17	5.35	4.92	0.42	0.241	0.426	61784
chr2	100273017	100273518	501	*	4.52	4.32	4.74	-0.41	0.241	0.426	61788
chr1	234524812	234525313	501	*	6.36	6.23	6.5	-0.26	0.241	0.426	61790
chr2	230630996	230631497	501	*	5.55	5.38	5.74	-0.36	0.241	0.426	61792
chr3	71073627	71074128	501	*	4.44	4.22	4.67	-0.45	0.241	0.426	61793
chr14	102234932	102235433	501	*	5.01	5.15	4.81	0.34	0.241	0.426	61795
chr6	75284344	75284845	501	*	7.59	7.69	7.47	0.22	0.241	0.426	61797
chr6	136367032	136367533	501	*	4.9	4.66	5.14	-0.48	0.241	0.426	61798
chr8	22681113	22681614	501	*	5.13	4.96	5.31	-0.35	0.241	0.426	61799
chr7	44984370	44984871	501	*	5.08	5.22	4.88	0.34	0.241	0.426	61800
chr6	711020	711521	501	*	7.22	7.36	7.03	0.33	0.241	0.427	61804
chr7	130886450	130886951	501	*	4.6	4.96	3.99	0.96	0.241	0.427	61806
chr11	43880672	43881173	501	*	7.18	7.27	7.05	0.21	0.241	0.427	61810
chr1	153626922	153627423	501	*	7.12	7.22	6.97	0.25	0.241	0.427	61816
chr12	96428961	96429462	501	*	4.86	5.02	4.63	0.39	0.242	0.427	61819
chr18	290955	291456	501	*	4.09	3.82	4.37	-0.55	0.242	0.427	61820
chr5	173969658	173970159	501	*	4.91	5.07	4.69	0.37	0.242	0.427	61822
chr3	108407271	108407772	501	*	5.95	5.78	6.14	-0.36	0.242	0.427	61824
chr11	130892623	130893124	501	*	4.38	4.18	4.6	-0.42	0.242	0.427	61828
chr9	132226211	132226712	501	*	4.23	3.95	4.51	-0.56	0.242	0.427	61830
chr10	125067757	125068258	501	*	5.12	4.94	5.31	-0.37	0.242	0.427	61833
chr14	65214533	65215034	501	*	4.66	4.82	4.43	0.4	0.242	0.427	61834
chr14	64518987	64519488	501	*	4.25	4.02	4.49	-0.48	0.242	0.427	61836
chr17	35030725	35031226	501	*	4.82	4.62	5.04	-0.42	0.242	0.427	61840
chr1	162634406	162634907	501	*	4.76	4.93	4.53	0.4	0.242	0.427	61845
chr4	101201582	101202083	501	*	5.8	5.65	5.96	-0.31	0.242	0.427	61854
chr5	149125464	149125965	501	*	6.31	6.16	6.48	-0.31	0.242	0.427	61861
chr11	72112094	72112595	501	*	7.45	7.55	7.32	0.23	0.242	0.427	61864
chr18	8990363	8990864	501	*	5.62	5.46	5.81	-0.35	0.242	0.428	61868
chr14	60980685	60981186	501	*	7.69	7.78	7.58	0.21	0.242	0.428	61870
chr6	24855666	24856167	501	*	5.41	5.59	5.13	0.46	0.242	0.428	61871
chr1	38571294	38571795	501	*	4.63	4.81	4.37	0.44	0.242	0.428	61876
chr18	9989377	9989878	501	*	4.39	4.62	4.04	0.58	0.242	0.428	61878
chr22	38052532	38053033	501	*	6.23	6.37	6.04	0.33	0.242	0.428	61879
chr6	139230234	139230735	501	*	4.57	4.36	4.8	-0.43	0.242	0.428	61882
chr17	31856650	31857151	501	*	4.67	4.47	4.88	-0.41	0.242	0.428	61898
chr6	148365915	148366416	501	*	4.54	4.71	4.31	0.4	0.243	0.428	61902
chr12	115884996	115885497	501	*	5.58	5.39	5.78	-0.38	0.243	0.428	61910
chrX	45515739	45516240	501	*	4.5	4.68	4.22	0.46	0.243	0.428	61915
chr3	156548180	156548681	501	*	5.04	4.85	5.25	-0.4	0.243	0.428	61917
chr6	113680153	113680654	501	*	4.52	4.26	4.79	-0.53	0.243	0.428	61919
chr13	28819376	28819877	501	*	4.35	4.76	3.58	1.18	0.243	0.428	61920
chr22	25067641	25068142	501	*	5.06	5.23	4.81	0.42	0.243	0.428	61923
chr1	152001362	152001863	501	*	5.53	5.37	5.71	-0.33	0.243	0.428	61925
chr16	29977480	29977981	501	*	4.55	4.72	4.3	0.42	0.243	0.428	61927
chr5	68419758	68420259	501	*	5.44	5.56	5.28	0.29	0.243	0.428	61932
chr5	134127420	134127921	501	*	4.47	4.66	4.17	0.49	0.243	0.429	61933
chr16	86500432	86500933	501	*	4.83	5.04	4.54	0.5	0.243	0.429	61936
chr6	149011385	149011886	501	*	3.59	3.83	3.2	0.63	0.243	0.429	61943
chr22	42699335	42699836	501	*	5.75	5.88	5.57	0.3	0.243	0.429	61946
chr16	27262212	27262713	501	*	5.42	5.25	5.6	-0.34	0.243	0.429	61947
chr9	36572399	36572900	501	*	7.28	7.38	7.13	0.24	0.243	0.429	61955
chr3	139343899	139344400	501	*	7.01	7.1	6.88	0.22	0.243	0.429	61959
chr6	137709843	137710344	501	*	4.55	4.72	4.31	0.41	0.243	0.429	61962
chr1	37534271	37534772	501	*	5.71	5.56	5.88	-0.32	0.243	0.429	61963
chr10	24230656	24231157	501	*	5.53	5.34	5.73	-0.39	0.243	0.429	61965
chr2	38535895	38536396	501	*	6.88	6.99	6.74	0.26	0.243	0.429	61978
chr11	12248591	12249092	501	*	6.33	6.45	6.16	0.29	0.243	0.429	61979
chr3	187858447	187858948	501	*	4.74	4.92	4.48	0.44	0.243	0.429	61982
chr11	4820408	4820909	501	*	3.95	3.59	4.29	-0.7	0.244	0.429	61984
chr11	122095762	122096263	501	*	4.14	4.35	3.82	0.53	0.244	0.429	61985
chr18	62596341	62596842	501	*	5.04	5.2	4.81	0.39	0.244	0.429	61987
chr22	42650898	42651399	501	*	4.7	4.84	4.49	0.35	0.244	0.429	61989
chr16	48283998	48284499	501	*	4.4	4.18	4.64	-0.46	0.244	0.429	61992
chr14	63641430	63641931	501	*	7.45	7.55	7.32	0.23	0.244	0.429	61993
chr21	41930614	41931115	501	*	4.53	4.72	4.26	0.46	0.244	0.429	61998
chr12	122266242	122266743	501	*	7.29	7.4	7.15	0.25	0.244	0.429	62000
chr7	111749888	111750389	501	*	4.58	4.35	4.82	-0.47	0.244	0.43	62008
chr4	38690978	38691479	501	*	4.92	5.07	4.69	0.38	0.244	0.43	62011
chr2	48325828	48326329	501	*	4.06	3.81	4.32	-0.51	0.244	0.43	62016
chr2	152493682	152494183	501	*	5.24	5.37	5.06	0.31	0.244	0.43	62020
chr5	168463845	168464346	501	*	4.56	4.89	4.02	0.87	0.244	0.43	62026
chr11	1880732	1881233	501	*	5.36	5.53	5.1	0.43	0.244	0.43	62028
chr1	225475033	225475534	501	*	5.99	6.12	5.82	0.3	0.244	0.43	62033
chr14	64508908	64509409	501	*	5.07	4.92	5.24	-0.32	0.244	0.43	62035
chr1	182148082	182148583	501	*	4.91	5.06	4.7	0.37	0.244	0.43	62036
chr7	55423461	55423962	501	*	5.14	4.95	5.35	-0.4	0.244	0.43	62044
chr1	146007075	146007576	501	*	5.38	5.51	5.2	0.31	0.244	0.43	62045
chr2	230811669	230812170	501	*	5.44	5.29	5.61	-0.32	0.244	0.43	62046
chr4	128588934	128589435	501	*	6.08	5.91	6.28	-0.36	0.244	0.43	62047
chr21	33431552	33432053	501	*	4.5	4.67	4.25	0.42	0.244	0.43	62048
chr22	48721590	48722091	501	*	4.34	4.59	3.97	0.62	0.244	0.43	62050
chr1	53182671	53183172	501	*	4.71	4.51	4.93	-0.41	0.244	0.43	62052
chr8	53880412	53880913	501	*	6.19	6.32	6.02	0.31	0.244	0.43	62053
chr21	43322971	43323472	501	*	6.11	6.24	5.93	0.32	0.244	0.43	62055
chr5	56858694	56859195	501	*	4.22	4.01	4.45	-0.45	0.244	0.43	62057
chr1	47192589	47193090	501	*	5.8	5.66	5.97	-0.31	0.244	0.43	62062
chr1	67536459	67536960	501	*	4.09	4.29	3.78	0.52	0.244	0.43	62073
chr1	234655359	234655860	501	*	4.58	4.8	4.25	0.55	0.244	0.43	62074
chr1	59738375	59738876	501	*	5.49	5.3	5.68	-0.38	0.244	0.43	62077
chr14	67857728	67858229	501	*	6.86	6.75	6.99	-0.24	0.244	0.43	62080
chr2	200381142	200381643	501	*	4.91	5.06	4.69	0.37	0.244	0.43	62081
chr4	17614530	17615031	501	*	7.34	7.43	7.23	0.2	0.244	0.43	62083
chr20	49216810	49217311	501	*	5.23	5.05	5.42	-0.37	0.244	0.43	62084
chr15	98874563	98875064	501	*	5.17	5.3	4.98	0.31	0.244	0.43	62085
chr11	63768264	63768765	501	*	6.57	6.83	6.18	0.65	0.244	0.43	62087
chr12	122974736	122975237	501	*	7.49	7.58	7.36	0.22	0.245	0.43	62091
chr3	64489408	64489909	501	*	6.06	5.88	6.27	-0.39	0.245	0.43	62100
chr5	139379760	139380261	501	*	4.58	4.75	4.35	0.4	0.245	0.43	62108
chr3	50194077	50194578	501	*	4.98	5.14	4.75	0.4	0.245	0.431	62112
chr18	6746289	6746790	501	*	5.42	5.59	5.17	0.42	0.245	0.431	62113
chr7	71251495	71251996	501	*	5.59	5.44	5.76	-0.31	0.245	0.431	62116
chr21	14762803	14763304	501	*	4.7	4.84	4.51	0.34	0.245	0.431	62117
chr8	25382597	25383098	501	*	5.33	5.19	5.5	-0.31	0.245	0.431	62120
chr14	96514107	96514608	501	*	4.18	3.91	4.46	-0.54	0.245	0.431	62121
chr11	47466847	47467348	501	*	5.32	5.47	5.12	0.36	0.245	0.431	62122
chr12	93390643	93391144	501	*	6.04	5.91	6.18	-0.27	0.245	0.431	62123
chr22	50622248	50622749	501	*	6.76	6.62	6.92	-0.3	0.245	0.431	62131
chr13	110231504	110232005	501	*	4.64	4.84	4.33	0.51	0.245	0.431	62132
chr20	50576103	50576604	501	*	4.91	4.76	5.08	-0.32	0.245	0.431	62134
chr1	66339895	66340396	501	*	5.24	5.38	5.04	0.35	0.245	0.431	62139
chr16	2340969	2341470	501	*	5.69	5.83	5.49	0.34	0.245	0.431	62140
chr6	17472588	17473089	501	*	4.9	5.08	4.64	0.44	0.245	0.431	62143
chr13	24038868	24039369	501	*	5.08	4.9	5.27	-0.37	0.245	0.431	62147
chr10	79184709	79185210	501	*	4.68	4.86	4.43	0.43	0.245	0.431	62148
chr5	71650719	71651220	501	*	4.57	4.81	4.2	0.6	0.245	0.431	62151
chr1	39348455	39348956	501	*	4.92	4.7	5.15	-0.46	0.245	0.431	62152
chr17	42964557	42965058	501	*	7.18	7.28	7.05	0.23	0.245	0.431	62155
chr2	43402030	43402531	501	*	4.6	4.76	4.38	0.38	0.245	0.431	62156
chr1	50722276	50722777	501	*	4.02	3.77	4.28	-0.51	0.245	0.431	62164
chr11	69915607	69916108	501	*	6.12	6.24	5.97	0.27	0.245	0.431	62166
chr7	36116366	36116867	501	*	4.74	4.9	4.52	0.37	0.245	0.431	62172
chr2	234301416	234301917	501	*	4.78	4.58	4.99	-0.41	0.245	0.431	62174
chr8	134867039	134867540	501	*	5.4	5.22	5.59	-0.37	0.246	0.431	62178
chr1	179814781	179815282	501	*	5.92	6.06	5.74	0.32	0.246	0.431	62180
chr20	40673624	40674125	501	*	4.56	4.36	4.77	-0.4	0.246	0.431	62186
chr1	19484742	19485243	501	*	8.2	8.29	8.07	0.22	0.246	0.432	62191
chr11	93648180	93648681	501	*	4.54	4.72	4.29	0.43	0.246	0.432	62193
chr15	37104243	37104744	501	*	5.12	5.27	4.92	0.35	0.246	0.432	62194
chr6	2624739	2625576	837	*	5.05	5.2	4.84	0.36	0.246	0.432	62198
chr3	129626840	129627341	501	*	7.27	7.38	7.12	0.26	0.246	0.432	62199
chr2	106575765	106576266	501	*	7.11	6.99	7.24	-0.25	0.246	0.432	62204
chr11	96057481	96057982	501	*	4.65	4.45	4.88	-0.43	0.246	0.432	62205
chr3	197509856	197510357	501	*	6.39	6.51	6.22	0.29	0.246	0.432	62210
